25.09 18:00:30 | ХАТО -1001901267353 (1): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 18:00:33 | ХАТО -1001901267353 (2): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 18:00:37 | ХАТО -1001901267353 (3): 400 {"ok":false,"error_code":400,"description":"Bad Request: chat not found"}
25.09 18:00:43 | хабар: 5/6 манзилга етди
25.09 22:53:10 | kech: 2026-09-26 да дарс йўқ
25.09 23:02:10 | бот таърифи ва буйруқлар рўйхати янгиланди
25.09 23:02:10 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
26.09 04:32:20 | цикл тугади
26.09 04:32:31 | бот таърифи ва буйруқлар рўйхати янгиланди
26.09 04:32:31 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
26.09 10:02:45 | цикл тугади
26.09 10:02:55 | бот таърифи ва буйруқлар рўйхати янгиланди
26.09 10:02:55 | цикл бошланди (330 дақиқа, обуна: 5, тузатиш: 0)
26.09 15:33:02 | цикл тугади
